issue,hundreds,tens,ones
2005068,9,5,8
2005069,1,6,9
2005070,8,5,4
2005071,5,5,5
2005072,5,9,5
2005073,4,5,8
2005074,0,5,8
2005075,1,4,4
2005076,0,5,3
2005077,9,4,4
2005078,9,6,9
2005079,2,9,5
2005080,5,5,3
2005081,8,0,8
2005082,2,1,2
2005083,6,6,6
2005084,8,8,0
2005085,4,1,6
2005086,2,2,8
2005087,1,5,7
2005088,5,7,1
2005089,8,8,5
2005090,2,1,7
2005091,1,1,5
2005092,8,1,6
2005093,6,6,0
2005094,1,7,1
2005095,0,2,2
2005096,6,0,6
2005097,6,6,5
2005098,0,6,3
2005099,4,2,2
2005100,5,4,9
2005101,3,0,7
2005102,6,7,1
2005103,0,4,5
2005104,8,6,9
2005105,2,4,0
2005106,6,6,9
2005107,6,0,9
2005108,2,0,3
2005109,6,3,0
2005110,8,5,1
2005111,0,7,9
2005112,5,2,9
2005113,3,8,0
2005114,3,6,7
2005115,8,8,0
2005116,8,3,0
2005117,1,3,0
2005118,9,1,6
2005119,1,0,2
2005120,5,0,2
2005121,0,5,3
2005122,2,7,5
2005123,0,3,4
2005124,3,3,3
2005125,0,0,5
2005126,5,9,4
2005127,4,8,2
2005128,5,9,6
2005129,5,7,3
2005130,1,3,1
2005131,7,9,6
2005132,1,8,0
2005133,9,6,4
2005134,8,9,9
2005135,9,3,6
2005136,4,8,9
2005137,0,5,2
2005138,1,6,7
2005139,6,6,7
2005140,5,7,2
2005141,6,6,3
2005142,3,0,6
2005143,1,0,5
2005144,4,9,4
2005145,9,4,3
2005146,4,7,7
2005147,9,6,5
2005148,1,6,8
2005149,7,7,4
2005150,9,5,0
2005151,3,1,2
2005152,9,4,9
2005153,3,6,9
2005154,3,1,9
2005155,7,4,9
2005156,4,3,0
2005157,5,9,0
2005158,0,6,0
2005159,9,9,6
2005160,7,9,1
2005161,4,8,8
2005162,5,1,6
2005163,5,8,6
2005164,3,6,1
2005165,2,4,9
2005166,7,7,5
2005167,3,0,0
2005168,6,6,4
2005169,2,3,8
2005170,2,1,4
2005171,5,5,8
2005172,3,7,0
2005173,7,9,1
2005174,6,0,9
2005175,8,1,3
2005176,5,1,7
2005177,2,5,1
2005178,0,7,5
2005179,1,2,3
2005180,2,6,8
2005181,0,7,3
2005182,4,3,3
2005183,1,5,3
2005184,9,1,8
2005185,8,1,0
2005186,7,5,6
2005187,3,3,2
2005188,8,1,8
2005189,9,2,7
2005190,3,2,2
2005191,7,9,8
2005192,3,5,3
2005193,7,1,0
2005194,8,4,2
2005195,8,3,0
2005196,6,5,4
2005197,7,3,4
2005198,3,2,8
2005199,2,1,4
2005200,6,6,7
2005201,3,8,0
2005202,6,1,2
2005203,8,7,7
2005204,0,7,3
2005205,1,6,4
2005206,8,5,9
2005207,1,2,9
2005208,5,9,8
2005209,1,6,6
2005210,0,7,4
2005211,4,0,4
2005212,9,9,4
2005213,4,2,4
2005214,9,6,1
2005215,0,0,2
